Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil,Position,Ligue,Fin_Contrat,Matchs_22_23,Buts_22_23,Minutes_22_23
Alexis Mac Allister,27,Argentine,"65,00 mio. €","42,00 mio. €",https://www.transfermarkt.fr/alexis-mac-allister/profil/spieler/534033,Milieu central,Premier League,2028,40,12,3309
Roméo Lavia,22,Belgique,"32,00 mio. €","62,10 mio. €",https://www.transfermarkt.fr/romeo-lavia/profil/spieler/628451,Milieu défensif,Premier League,2030,35,1,2537
Matheus Nunes,27,Portugal,"45,00 mio. €","62,00 mio. €",https://www.transfermarkt.fr/matheus-nunes/profil/spieler/601883,Arrière droit,Premier League,2028,41,2,2939
Sandro Tonali,25,Italie,"50,00 mio. €","60,80 mio. €",https://www.transfermarkt.fr/sandro-tonali/profil/spieler/397033,Milieu défensif,Premier League,2028,48,2,3985
Mason Mount,27,Angleterre,"60,00 mio. €","67,70 mio. €",https://www.transfermarkt.fr/mason-mount/profil/spieler/346483,Milieu offensif,Premier League,2028,35,3,2199
Jérémy Doku,23,Belgique,"28,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/jeremy-doku/profil/spieler/486049,Ailier gauche,Premier League,2028,35,7,1616
Manuel Ugarte,24,Uruguay,"50,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/manuel-ugarte/profil/spieler/476701,Milieu défensif,Premier League,2029,47,0,3573
Malcom,28,Brésil,"30,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/malcom/profil/spieler/323704,Ailier droit,Saudi Pro League,2027,33,26,2739
Otávio,30,Portugal,"35,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/otavio/profil/spieler/231289,Milieu offensif,Saudi Pro League,2027,44,7,3637
Min-jae Kim,29,Corée du Sud,"60,00 mio. €","50,00 mio. €",https://www.transfermarkt.fr/min-jae-kim/profil/spieler/503482,Défenseur central,Bundesliga,2028,45,2,3878
Ousmane Dembélé,28,France,"60,00 mio. €","50,00 mio. €",https://www.transfermarkt.fr/ousmane-dembele/profil/spieler/288230,Avant-centre,Ligue 1,2028,35,8,2169
James Maddison,29,Angleterre,"60,00 mio. €","46,30 mio. €",https://www.transfermarkt.fr/james-maddison/profil/spieler/294057,Milieu offensif,Premier League,2028,32,10,2579
Brennan Johnson,24,Pays de Galles,"38,00 mio. €","55,00 mio. €",https://www.transfermarkt.fr/brennan-johnson/profil/spieler/470607,Ailier droit,Premier League,2030,44,10,3303
Moussa Diaby,26,France,"50,00 mio. €","55,00 mio. €",https://www.transfermarkt.fr/moussa-diaby/profil/spieler/395516,Ailier droit,Saudi Pro League,2029,48,14,3887
Rúben Neves,28,Portugal,"40,00 mio. €","55,00 mio. €",https://www.transfermarkt.fr/ruben-neves/profil/spieler/225161,Milieu défensif,Saudi Pro League,2029,41,6,3411
Aleksandar Mitrović,31,Serbie,"28,00 mio. €","52,60 mio. €",https://www.transfermarkt.fr/aleksandar-mitrovic/profil/spieler/51152,Avant-centre,Stars League,2028,28,15,2230
Matheus Cunha,26,Brésil,"25,00 mio. €","50,00 mio. €",https://www.transfermarkt.fr/matheus-cunha/profil/spieler/517894,Avant-centre,Premier League,2030,37,2,1565
Sergej Milinković-Savić,30,Serbie,"50,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/sergej-milinkovic-savic/profil/spieler/266302,Milieu central,Saudi Pro League,2028,47,11,3717
Dejan Kulusevski,25,Suède,"50,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/dejan-kulusevski/profil/spieler/431755,Milieu offensif,Premier League,2028,37,2,2417
João Félix,26,Portugal,Inconnu,"50,00 mio. €",https://www.transfermarkt.fr/joao-felix/profil/spieler/462250,Deuxième attaquant,Saudi Pro League,2027,40,9,2144
João Cancelo,31,Portugal,Inconnu,"50,00 mio. €",https://www.transfermarkt.fr/joao-cancelo/profil/spieler/182712,Arrière droit,LaLiga,2026,47,3,3172
Milan Škriniar,30,Slovaquie,Inconnu,"50,00 mio. €",https://www.transfermarkt.fr/milan-skriniar/profil/spieler/204069,Défenseur central,Süper Lig,2029,31,0,2406
Cole Palmer,23,Angleterre,"18,00 mio. €","47,00 mio. €",https://www.transfermarkt.fr/cole-palmer/profil/spieler/568177,Milieu offensif,Premier League,2033,25,1,850
Fabinho,32,Brésil,"42,00 mio. €","46,70 mio. €",https://www.transfermarkt.fr/fabinho/profil/spieler/225693,Milieu défensif,Saudi Pro League,2026,49,0,3539
Lucas Hernández,29,France,"45,00 mio. €","45,00 mio. €",https://www.transfermarkt.fr/lucas-hernandez/profil/spieler/281963,Arrière gauche,Ligue 1,2028,11,1,833
Bradley Barcola,23,France,"18,00 mio. €","45,00 mio. €",https://www.transfermarkt.fr/bradley-barcola/profil/spieler/708265,Ailier gauche,Ligue 1,2028,35,7,2129
Axel Disasi,27,France,"30,00 mio. €","45,00 mio. €",https://www.transfermarkt.fr/axel-disasi/profil/spieler/386047,Défenseur central,Premier League,2026,49,6,4380
Marco Verratti,33,Italie,"40,00 mio. €","45,00 mio. €",https://www.transfermarkt.fr/marco-verratti/profil/spieler/102558,Milieu central,Stars League,0,38,0,2985
Pau Torres,29,Espagne,"45,00 mio. €","33,00 mio. €",https://www.transfermarkt.fr/pau-torres/profil/spieler/399776,Défenseur central,Premier League,2028,39,1,3349
Harvey Barnes,28,Angleterre,"35,00 mio. €","44,00 mio. €",https://www.transfermarkt.fr/harvey-barnes/profil/spieler/398065,Ailier gauche,Premier League,2028,40,13,3247
Mohammed Kudus,25,Ghana,"40,00 mio. €","43,00 mio. €",https://www.transfermarkt.fr/mohammed-kudus/profil/spieler/543499,Ailier droit,Premier League,2031,42,18,2693
Jurriën Timber,24,Pays-Bas,"42,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/jurrien-timber/profil/spieler/420243,Arrière droit,Premier League,2028,47,2,4207
Ryan Gravenberch,23,Pays-Bas,"30,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/ryan-gravenberch/profil/spieler/478573,Milieu défensif,Premier League,2028,33,1,938
Pedro Porro,26,Espagne,"40,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/pedro-porro/profil/spieler/553875,Arrière droit,Premier League,2028,43,6,3205
Micky van de Ven,24,Pays-Bas,"30,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/micky-van-de-ven/profil/spieler/557459,Défenseur central,Premier League,2029,36,1,3240
Benjamin Pavard,29,France,"40,00 mio. €","31,40 mio. €",https://www.transfermarkt.fr/benjamin-pavard/profil/spieler/353366,Défenseur central,Ligue 1,2026,43,7,3376
Vitor Roque,20,Brésil,"40,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/vitor-roque/profil/spieler/943837,Avant-centre,Série A,2029,45,21,3148
Xavi Simons,22,Pays-Bas,"40,00 mio. €","4,00 mio. €",https://www.transfermarkt.fr/xavi-simons/profil/spieler/566931,Milieu offensif,Premier League,2030,48,22,3800
Edson Álvarez,28,Mexique,"35,00 mio. €","38,00 mio. €",https://www.transfermarkt.fr/edson-alvarez/profil/spieler/401356,Milieu défensif,Süper Lig,2026,44,4,3699
James Ward-Prowse,31,Angleterre,"38,00 mio. €","34,80 mio. €",https://www.transfermarkt.fr/james-ward-prowse/profil/spieler/181579,Milieu central,Premier League,2026,45,11,3973
Mateo Kovacic,31,Croatie,"38,00 mio. €","29,10 mio. €",https://www.transfermarkt.fr/mateo-kovacic/profil/spieler/51471,Milieu central,Premier League,2027,37,2,2467
Tino Livramento,23,Angleterre,"25,00 mio. €","37,20 mio. €",https://www.transfermarkt.fr/tino-livramento/profil/spieler/503981,Arrière droit,Premier League,2028,3,0,71
Nicolas Jackson,24,Sénégal,"30,00 mio. €","37,00 mio. €",https://www.transfermarkt.fr/nicolas-jackson/profil/spieler/776890,Avant-centre,Bundesliga,2026,38,13,2121
André Onana,29,Cameroun,"35,00 mio. €","50,20 mio. €",https://www.transfermarkt.fr/andre-onana/profil/spieler/234509,Gardien de but,Süper Lig,2026,41,0,3720
Loïs Openda,25,Belgique,"35,00 mio. €","40,00 mio. €",https://www.transfermarkt.fr/lois-openda/profil/spieler/368887,Avant-centre,Serie A,2026,42,21,2801
Ibrahim Sangaré,28,Côte d'Ivoire,"35,00 mio. €","35,00 mio. €",https://www.transfermarkt.fr/ibrahim-sangare/profil/spieler/375885,Milieu défensif,Premier League,2028,45,8,3765
Elye Wahi,23,France,"35,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/elye-wahi/profil/spieler/659542,Avant-centre,Ligue 1,2026,33,19,2531
Orkun Kökçü,25,Turquie,"35,00 mio. €","29,70 mio. €",https://www.transfermarkt.fr/orkun-kokcu/profil/spieler/454567,Milieu central,Süper Lig,2030,46,12,3959
Giacomo Raspadori,25,Italie,"35,00 mio. €","28,00 mio. €",https://www.transfermarkt.fr/giacomo-raspadori/profil/spieler/405885,Deuxième attaquant,Serie A,2030,35,6,1352
Ansu Fati,23,Espagne,Inconnu,"35,00 mio. €",https://www.transfermarkt.fr/ansu-fati/profil/spieler/466810,Ailier gauche,Ligue 1,2026,51,10,1827
Lionel Messi,38,Argentine,Inconnu,"35,00 mio. €",https://www.transfermarkt.fr/lionel-messi/profil/spieler/28003,Ailier droit,MLS,2028,55,32,4723
João Pedro,24,Brésil,"32,00 mio. €","34,20 mio. €",https://www.transfermarkt.fr/joao-pedro/profil/spieler/626724,Avant-centre,Premier League,2033,35,11,2792
Allan Saint-Maximin,28,France,"32,00 mio. €","27,20 mio. €",https://www.transfermarkt.fr/allan-saint-maximin/profil/spieler/272642,Ailier gauche,Ligue 1,2026,31,1,1376
Seko Fofana,30,Côte d'Ivoire,"32,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/seko-fofana/profil/spieler/182893,Milieu central,Liga Portugal,2026,39,9,3312
Marcus Thuram,28,France,Inconnu,"32,00 mio. €",https://www.transfermarkt.fr/marcus-thuram/profil/spieler/318528,Avant-centre,Serie A,2028,32,16,2700
Benjamin Sesko,22,Slovénie,"24,00 mio. €","31,65 mio. €",https://www.transfermarkt.fr/benjamin-sesko/profil/spieler/627442,Avant-centre,Premier League,2030,41,18,2576
El Bilal Touré,24,Mali,"12,00 mio. €","30,20 mio. €",https://www.transfermarkt.fr/el-bilal-toure/profil/spieler/649016,Ailier gauche,Süper Lig,2026,25,7,1400
Manuel Locatelli,28,Italie,"30,00 mio. €","36,40 mio. €",https://www.transfermarkt.fr/manuel-locatelli/profil/spieler/265088,Milieu défensif,Serie A,2028,49,0,3645
Felix Nmecha,25,Allemagne,"15,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/felix-nmecha/profil/spieler/406640,Milieu central,Bundesliga,2028,32,3,1884
Sacha Boey,25,France,"22,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/sacha-boey/profil/spieler/475413,Arrière droit,Süper Lig,2026,33,1,2835
Folarin Balogun,24,États-Unis,"30,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/folarin-balogun/profil/spieler/503770,Avant-centre,Ligue 1,2028,39,22,3146
Moise Kean,25,Italie,"18,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/moise-kean/profil/spieler/364135,Avant-centre,Serie A,2029,40,8,1464
Gabri Veiga,23,Espagne,"30,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/gabri-veiga/profil/spieler/699704,Milieu offensif,Liga Portugal,2030,40,11,2555
Sadio Mané,33,Sénégal,"25,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/sadio-mane/profil/spieler/200512,Ailier gauche,Saudi Pro League,2026,38,12,2205
Castello Lukeba,23,France,"25,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/castello-lukeba/profil/spieler/618472,Défenseur central,Bundesliga,2029,38,2,3313
Roger Ibañez,27,Brésil,"30,00 mio. €","28,50 mio. €",https://www.transfermarkt.fr/roger-ibanez/profil/spieler/524481,Défenseur central,Saudi Pro League,2027,48,3,4089
Arthur Vermeeren,21,Belgique,"30,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/arthur-vermeeren/profil/spieler/926694,Milieu défensif,Ligue 1,2026,40,2,3311
Jota,26,Portugal,"13,00 mio. €","29,10 mio. €",https://www.transfermarkt.fr/jota/profil/spieler/329812,Ailier gauche,Premiership,2030,43,15,2933
Hugo Ekitiké,23,France,"20,00 mio. €","28,50 mio. €",https://www.transfermarkt.fr/hugo-ekitike/profil/spieler/709726,Avant-centre,Premier League,2031,32,4,1396
Jesper Lindstrøm,25,Danemark,"28,00 mio. €","30,00 mio. €",https://www.transfermarkt.fr/jesper-lindstrom/profil/spieler/513245,Ailier droit,Bundesliga,2026,38,9,2364
Gianluca Scamacca,27,Italie,"22,00 mio. €","28,00 mio. €",https://www.transfermarkt.fr/gianluca-scamacca/profil/spieler/315867,Avant-centre,Serie A,2027,27,8,1355
Alex Iwobi,29,Nigeria,"28,00 mio. €","25,70 mio. €",https://www.transfermarkt.fr/alex-iwobi/profil/spieler/242631,Ailier gauche,Premier League,2028,41,2,3561
Evan Ndicka,26,Côte d'Ivoire,Inconnu,"28,00 mio. €",https://www.transfermarkt.fr/evan-ndicka/profil/spieler/371149,Défenseur central,Serie A,2028,44,2,3908
Konrad Laimer,28,Autriche,Inconnu,"28,00 mio. €",https://www.transfermarkt.fr/konrad-laimer/profil/spieler/223967,Arrière droit,Bundesliga,2027,29,4,2185
Aymeric Laporte,31,Espagne,"25,00 mio. €","27,50 mio. €",https://www.transfermarkt.fr/aymeric-laporte/profil/spieler/176553,Défenseur central,LaLiga,2028,24,0,1864
Lesley Ugochukwu,21,France,"9,00 mio. €","27,00 mio. €",https://www.transfermarkt.fr/lesley-ugochukwu/profil/spieler/711999,Milieu défensif,Premier League,2030,35,0,1996
Carlos Baleba,22,Cameroun,"5,00 mio. €","27,00 mio. €",https://www.transfermarkt.fr/carlos-baleba/profil/spieler/973085,Milieu défensif,Premier League,2028,25,0,981
Daichi Kamada,29,Japon,Inconnu,"27,00 mio. €",https://www.transfermarkt.fr/daichi-kamada/profil/spieler/356141,Milieu offensif,Premier League,2026,47,16,3455
Tyler Adams,26,États-Unis,"18,00 mio. €","26,90 mio. €",https://www.transfermarkt.fr/tyler-adams/profil/spieler/332705,Milieu défensif,Premier League,2028,26,0,2292
Nathan Collins,24,Irlande,"22,00 mio. €","26,85 mio. €",https://www.transfermarkt.fr/nathan-collins/profil/spieler/469050,Défenseur central,Premier League,2029,31,0,2262
Arda Güler,20,Turquie,"15,00 mio. €","26,00 mio. €",https://www.transfermarkt.fr/arda-guler/profil/spieler/861410,Milieu offensif,LaLiga,2029,35,6,1549
Hamed Traoré,25,Côte d'Ivoire,"22,00 mio. €","25,62 mio. €",https://www.transfermarkt.fr/hamed-traore/profil/spieler/391065,Ailier gauche,Ligue 1,2026,18,0,1022
Christoph Baumgartner,26,Autriche,"24,00 mio. €","25,50 mio. €",https://www.transfermarkt.fr/christoph-baumgartner/profil/spieler/324278,Milieu offensif,Bundesliga,2028,36,7,2823
Beto,28,Guinée-Bissau,"25,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/beto/profil/spieler/595809,Avant-centre,Premier League,2027,34,10,2195
Lovro Majer,28,Croatie,"20,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/lovro-majer/profil/spieler/387106,Milieu offensif,Bundesliga,2028,42,3,2340
Radu Drăgușin,24,Roumanie,"20,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/radu-dragusin/profil/spieler/568559,Défenseur central,Premier League,2030,40,4,3555
Kevin Schade,24,Allemagne,"25,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/kevin-schade/profil/spieler/473050,Ailier gauche,Premier League,2028,31,1,1045
Ernest Nuamah,22,Ghana,"6,00 mio. €","25,00 mio. €",https://www.transfermarkt.fr/ernest-nuamah/profil/spieler/955070,Ailier droit,Ligue 1,2028,34,15,2854
Antoine Griezmann,34,France,"25,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/antoine-griezmann/profil/spieler/125781,Deuxième attaquant,LaLiga,2027,48,16,3634
Marcos Leonardo,22,Brésil,"25,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/marcos-leonardo/profil/spieler/668267,Avant-centre,Saudi Pro League,2029,49,21,4132
Samuel Chukwueze,26,Nigeria,"25,00 mio. €","21,10 mio. €",https://www.transfermarkt.fr/samuel-chukwueze/profil/spieler/401922,Ailier droit,Premier League,2026,50,13,3261
Christian Pulisic,27,États-Unis,"25,00 mio. €","20,80 mio. €",https://www.transfermarkt.fr/christian-pulisic/profil/spieler/315779,Ailier droit,Serie A,2027,30,1,1013
Ruben Loftus-Cheek,30,Angleterre,"25,00 mio. €","18,90 mio. €",https://www.transfermarkt.fr/ruben-loftus-cheek/profil/spieler/202886,Milieu central,Serie A,2027,33,0,1912
Marcelo Brozović,33,Croatie,"25,00 mio. €","15,70 mio. €",https://www.transfermarkt.fr/marcelo-brozovic/profil/spieler/156617,Milieu défensif,Saudi Pro League,2026,40,3,2508
Hirving Lozano,30,Mexique,"25,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/hirving-lozano/profil/spieler/316889,Ailier gauche,MLS,2028,41,4,2076
Yannick Carrasco,32,Belgique,"25,00 mio. €","15,00 mio. €",https://www.transfermarkt.fr/yannick-carrasco/profil/spieler/140776,Ailier gauche,Saudi Pro League,2027,44,10,2845
Boulaye Dia,29,Sénégal,"25,00 mio. €","14,40 mio. €",https://www.transfermarkt.fr/boulaye-dia/profil/spieler/626913,Avant-centre,Serie A,2026,33,16,2526
Timothy Castagne,30,Belgique,"25,00 mio. €","13,00 mio. €",https://www.transfermarkt.fr/timothy-castagne/profil/spieler/262226,Arrière droit,Premier League,2027,42,2,3562
Franck Kessié,29,Côte d'Ivoire,"25,00 mio. €","12,50 mio. €",https://www.transfermarkt.fr/franck-kessie/profil/spieler/294808,Milieu central,Saudi Pro League,2026,43,3,1801
Tetê,25,Brésil,"25,00 mio. €","1,00 mio. €",https://www.transfermarkt.fr/tete/profil/spieler/371256,Ailier droit,Série A,2029,33,7,2108
Alejandro Grimaldo,30,Espagne,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/alejandro-grimaldo/profil/spieler/193082,Arrière gauche,Bundesliga,2027,54,8,4821
Jadon Sancho,25,Angleterre,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/jadon-sancho/profil/spieler/401173,Ailier gauche,Premier League,2026,41,7,2433
Youri Tielemans,28,Belgique,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/youri-tielemans/profil/spieler/249565,Milieu central,Premier League,2028,37,4,2829
Marco Asensio,30,Espagne,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/marco-asensio/profil/spieler/296622,Milieu offensif,Süper Lig,2028,51,12,2029
Davide Frattesi,26,Italie,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/davide-frattesi/profil/spieler/394300,Milieu central,Serie A,2028,37,7,2971
Brenden Aaronson,25,États-Unis,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/brenden-aaronson/profil/spieler/393323,Milieu offensif,Premier League,2027,41,2,2588
Taylor Harwood-Bellis,24,Angleterre,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/taylor-harwood-bellis/profil/spieler/503977,Défenseur central,Championship,2028,35,1,2889
Enes Ünal,28,Turquie,Inconnu,"25,00 mio. €",https://www.transfermarkt.fr/enes-unal/profil/spieler/251106,Avant-centre,Premier League,2028,38,15,3223
Tijjani Reijnders,27,Pays-Bas,"14,00 mio. €","24,80 mio. €",https://www.transfermarkt.fr/tijjani-reijnders/profil/spieler/460939,Milieu central,Premier League,2030,54,7,4843
Viktor Gyökeres,27,Suède,"13,00 mio. €","24,00 mio. €",https://www.transfermarkt.fr/viktor-gyokeres/profil/spieler/325443,Avant-centre,Premier League,2030,50,22,4379
Eljif Elmas,26,Macédoine du Nord,"24,00 mio. €","24,00 mio. €",https://www.transfermarkt.fr/eljif-elmas/profil/spieler/400489,Milieu offensif,Serie A,2026,47,6,1981
Nathan Tella,26,Nigeria,"18,00 mio. €","23,30 mio. €",https://www.transfermarkt.fr/nathan-tella/profil/spieler/340322,Ailier droit,Bundesliga,2028,45,19,2844
Kalidou Koulibaly,34,Sénégal,"15,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/kalidou-koulibaly/profil/spieler/93128,Défenseur central,Saudi Pro League,2026,32,2,2550
Alex Scott,22,Angleterre,"20,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/alex-scott/profil/spieler/855256,Milieu central,Premier League,2028,49,2,3786
Renan Lodi,27,Brésil,"20,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/renan-lodi/profil/spieler/476352,Arrière gauche,Série A,2030,32,1,2538
Gonçalo Guedes,29,Portugal,Inconnu,"23,00 mio. €",https://www.transfermarkt.fr/goncalo-guedes/profil/spieler/225122,Ailier gauche,LaLiga,2028,33,4,1452
Anthony Elanga,23,Suède,"18,00 mio. €","22,93 mio. €",https://www.transfermarkt.fr/anthony-elanga/profil/spieler/583189,Ailier droit,Premier League,0,26,0,705
Victor Boniface,25,Nigeria,"12,00 mio. €","22,60 mio. €",https://www.transfermarkt.fr/victor-boniface/profil/spieler/656681,Avant-centre,Bundesliga,2026,55,22,4013
Terem Moffi,26,Nigeria,"20,00 mio. €","22,50 mio. €",https://www.transfermarkt.fr/terem-moffi/profil/spieler/538874,Avant-centre,Liga Portugal,2026,38,21,3067
Calvin Bassey,26,Nigeria,"15,00 mio. €","22,50 mio. €",https://www.transfermarkt.fr/calvin-bassey/profil/spieler/461883,Défenseur central,Premier League,2027,39,1,2797
Robert Sánchez,28,Espagne,"22,00 mio. €","23,00 mio. €",https://www.transfermarkt.fr/robert-sanchez/profil/spieler/403151,Gardien de but,Premier League,2030,25,0,2280
Kang-in Lee,24,Corée du Sud,"22,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/kang-in-lee/profil/spieler/557149,Milieu offensif,Ligue 1,2028,39,6,3083
Luiz Felipe,28,Italie,"15,00 mio. €","22,00 mio. €",https://www.transfermarkt.fr/luiz-felipe/profil/spieler/457931,Défenseur central,LaLiga,2026,30,0,2396
Djibril Sow,29,Suisse,"22,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/djibril-sow/profil/spieler/212723,Milieu central,LaLiga,2029,47,4,3931
Anatoliy Trubin,24,Ukraine,"22,00 mio. €","10,00 mio. €",https://www.transfermarkt.fr/anatoliy-trubin/profil/spieler/537844,Gardien de but,Liga Portugal,2028,38,0,3450
Jack Harrison,29,Angleterre,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/jack-harrison/profil/spieler/417346,Ailier gauche,Serie A,2026,40,6,3012
Wilfried Zaha,33,Côte d'Ivoire,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/wilfried-zaha/profil/spieler/145988,Ailier gauche,MLS,2026,28,7,2384
Tanguy Ndombélé,29,France,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/tanguy-ndombele/profil/spieler/450936,Milieu central,Ligue 1,2026,40,2,1266
Luis Sinisterra,26,Colombie,Inconnu,"22,00 mio. €",https://www.transfermarkt.fr/luis-sinisterra/profil/spieler/512385,Ailier gauche,Série A,2026,22,7,1018
Cameron Archer,24,Angleterre,"12,00 mio. €","21,55 mio. €",https://www.transfermarkt.fr/cameron-archer/profil/spieler/533662,Avant-centre,Championship,2028,30,11,1624
Adam Wharton,22,Angleterre,"10,00 mio. €","21,10 mio. €",https://www.transfermarkt.fr/adam-wharton/profil/spieler/744149,Milieu défensif,Premier League,2029,29,3,1882
Yassine Bounou,34,Maroc,"12,00 mio. €","21,00 mio. €",https://www.transfermarkt.fr/yassine-bounou/profil/spieler/207834,Gardien de but,Saudi Pro League,2028,36,0,3187
Josip Sutalo,25,Croatie,"18,00 mio. €","20,50 mio. €",https://www.transfermarkt.fr/josip-sutalo/profil/spieler/371001,Défenseur central,Eredivisie,2028,36,3,3035
Milos Kerkez,22,Hongrie,"15,00 mio. €","20,47 mio. €",https://www.transfermarkt.fr/milos-kerkez/profil/spieler/730861,Arrière gauche,Premier League,2030,52,5,4197
Riyad Mahrez,34,Algérie,"20,00 mio. €","35,00 mio. €",https://www.transfermarkt.fr/riyad-mahrez/profil/spieler/171424,Ailier droit,Saudi Pro League,2027,47,15,3068
Arthur Cabral,27,Brésil,"20,00 mio. €","20,50 mio. €",https://www.transfermarkt.fr/arthur-cabral/profil/spieler/390638,Avant-centre,Série A,2028,48,17,2551
Wataru Endo,32,Japon,"6,50 mio. €","20,00 mio. €",https://www.transfermarkt.fr/wataru-endo/profil/spieler/146310,Milieu défensif,Premier League,2027,40,6,3523
Denis Zakaria,29,Suisse,"18,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/denis-zakaria/profil/spieler/334526,Milieu défensif,Ligue 1,2028,13,1,722
Enzo Le Fée,26,France,"20,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/enzo-le-fee/profil/spieler/633992,Milieu central,Premier League,2029,36,6,3133
Konstantinos Mavropanos,28,Grèce,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/konstantinos-mavropanos/profil/spieler/415912,Défenseur central,Premier League,2028,34,3,2725
Lucas Beraldo,22,Brésil,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/lucas-beraldo/profil/spieler/872171,Défenseur central,Ligue 1,2028,48,1,4199
